学期,科目番号,科目名称,履修者数,回答者数,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17
春,GE50732,専門英語B-3,37,28,3.22,2.86,2.84,2.94,1.07,2.93,1.36,2.39,3.54,2.91,2.61,2.65,2.68,2.46,2.56,2.70,2.48
秋,GE50812,専門英語C-1,19,15,3.57,3.21,3.08,3.21,1.00,2.87,1.27,2.80,3.47,3.29,3.47,3.33,3.33,3.33,2.93,3.20,2.87
秋,GE50822,専門英語C-2,23,22,3.56,3.37,3.41,3.37,1.09,3.00,1.27,3.23,3.18,3.27,3.23,3.19,3.10,3.14,3.29,3.24,3.19
秋,GE50832,専門英語C-3,73,53,3.37,3.36,3.27,3.27,1.00,3.02,1.53,2.87,2.62,3.24,3.13,3.20,3.35,3.15,3.00,3.06,2.90
春,GE60103,知識科学実習,35,21,3.25,3.11,3.16,3.17,1.00,3.10,1.10,3.05,3.00,3.48,3.10,3.15,3.10,3.20,3.15,3.30,3.25
秋,GE60103,知識科学実習,35,16,3.53,3.62,3.38,3.38,1.00,2.80,1.13,3.25,3.60,3.50,3.38,3.25,3.38,3.40,3.40,3.53,3.40
春,GE60201,テクニカルコミュニケーション,58,44,3.72,3.63,3.53,3.63,1.09,3.16,1.27,3.52,2.95,3.55,3.55,3.57,3.57,3.49,3.52,3.58,3.55
秋,GE60301,医療情報論,38,31,3.68,3.61,3.67,3.67,1.13,3.13,1.55,3.23,3.43,3.61,3.58,3.58,3.42,3.60,3.47,3.55,3.40
春,GE60401,特許情報論,53,38,3.62,3.47,3.26,3.29,1.00,3.46,1.71,3.05,2.83,3.43,3.42,3.34,3.37,3.31,3.08,3.34,2.87
春,GE60501,知識論,37,31,3.60,3.46,3.19,3.33,1.00,3.19,1.50,3.10,2.76,3.39,2.90,3.24,3.21,3.14,2.86,3.11,2.93
秋,GE60601,知識形成論,55,42,3.21,3.32,3.44,3.48,1.02,3.24,1.71,3.05,2.86,3.18,3.24,3.30,3.27,3.28,3.33,3.44,3.34
春,GE60801,学術メディア論,55,52,3.66,3.67,3.47,3.56,1.04,3.18,1.67,3.10,3.20,3.53,3.60,3.48,3.47,3.42,3.20,3.41,3.16
秋,GE61001,コミュニティ情報論,35,29,3.59,3.45,3.50,3.54,1.03,3.07,1.86,2.86,2.90,3.26,3.36,3.25,3.29,3.20,3.11,3.21,3.21
秋,GE61201,知識構造化法,29,15,3.69,3.21,3.14,3.23,1.00,3.14,2.07,2.86,3.07,3.07,2.79,2.50,2.93,2.85,2.71,2.93,2.79
春,GE61301,情報評価,52,25,3.43,3.44,3.29,3.42,1.04,3.12,1.84,2.84,2.88,3.33,3.44,3.24,3.28,3.42,3.08,3.16,2.96
秋,GE61501,データマイニング,22,20,3.28,3.12,3.13,3.19,1.20,3.25,1.20,3.05,2.90,3.10,3.16,2.95,2.77,3.11,2.50,2.78,2.72
春,GE61701,サイエンスコミュニケーション,21,16,3.38,3.44,3.14,3.33,1.00,3.13,1.31,3.06,2.69,3.31,3.47,3.33,3.31,3.00,2.94,3.33,3.07
春,GE62001,生命情報学,26,19,3.35,3.39,3.31,3.33,1.00,3.11,1.42,3.11,2.79,3.25,3.21,3.26,3.42,3.33,2.89,3.21,3.06
春,GE62101,知識コミュニケーション,37,30,3.59,3.62,3.68,3.68,1.10,3.23,1.43,3.33,3.00,3.47,3.60,3.43,3.37,3.38,3.38,3.57,3.61
秋,GE62201,メディア社会文化論,56,28,3.50,3.44,3.37,3.44,1.00,3.07,1.39,3.29,2.86,3.33,3.07,3.36,3.18,3.30,3.11,3.33,3.26
秋,GE62301,ソーシャルメディア分析,20,11,3.91,3.64,3.73,3.55,1.09,3.27,1.09,3.55,3.27,3.64,3.73,3.73,3.55,3.55,3.45,3.73,3.64
春,GE70103,知識情報システム実習,36,28,3.61,3.38,3.48,3.38,1.00,3.00,1.18,3.33,3.41,3.40,3.44,3.12,3.31,3.31,3.15,3.44,3.27
秋,GE70103,知識情報システム実習,36,28,3.48,3.46,3.48,3.48,1.00,2.96,1.18,3.41,3.43,3.39,3.43,3.27,3.41,3.35,3.25,3.44,3.33
春,GE70201,情報サービスシステム,33,25,3.54,3.50,3.40,3.36,1.00,3.25,1.20,3.24,3.24,3.42,3.48,3.21,3.35,3.21,3.29,3.33,3.17
春,GE70301,ディジタルドキュメント,123,91,3.45,3.37,3.29,3.37,1.51,2.90,1.54,3.00,2.87,3.26,3.33,3.42,3.39,3.26,3.19,3.18,3.01
