学期,科目番号,科目名称,履修者数,回答者数,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17
秋,GE60601,知識形成論,46,38,3.44,3.33,3.34,3.36,1.00,3.16,1.84,3.26,3.11,3.17,3.16,3.18,3.26,3.47,3.24,3.45,3.22
秋,GE61001,コミュニティ情報論,24,17,3.65,3.47,3.41,3.53,1.00,3.00,1.82,3.24,3.18,3.56,3.59,3.53,3.59,3.53,3.29,3.47,3.31
秋,GE61101,図書館建築論,85,66,3.46,3.47,3.50,3.47,1.15,2.98,1.56,3.27,2.49,3.41,3.24,3.16,3.36,3.29,3.09,3.40,3.25
秋,GE61201,知識構造化法,30,16,3.44,3.33,3.33,3.33,1.19,3.25,2.19,2.69,3.19,3.44,3.27,3.00,3.25,3.27,3.07,3.38,2.93
春,GE61301,情報評価,50,23,3.57,3.65,3.30,3.50,1.00,3.04,2.00,2.91,2.87,3.35,3.65,3.35,3.48,3.39,3.35,3.48,3.35
秋,GE61501,データマイニング,20,13,3.40,3.27,3.36,3.45,1.00,3.08,2.08,3.08,3.00,3.33,3.38,3.08,3.23,3.54,2.69,3.23,3.17
春,GE61701,サイエンスコミュニケーション,19,12,3.50,3.50,3.50,3.42,1.00,3.08,1.50,2.92,3.08,3.33,3.42,3.33,3.25,3.25,3.33,3.42,3.42
春,GE62001,生命情報学,22,16,3.36,3.08,3.15,3.00,1.06,3.13,1.75,3.13,2.94,2.85,2.67,2.88,3.06,3.08,2.67,3.19,2.88
春,GE62101,知識コミュニケーション,42,35,3.89,3.80,3.74,3.76,1.00,3.03,1.77,3.37,3.03,3.61,3.77,3.69,3.66,3.48,3.46,3.63,3.59
秋,GE62201,メディア社会文化論,44,32,3.36,3.29,3.29,3.32,1.00,3.03,2.03,3.10,2.59,3.07,3.00,3.13,3.17,3.16,3.06,3.22,3.10
秋,GE62301,ソーシャルメディア分析,8,6,3.83,3.33,3.33,3.17,1.00,3.00,1.33,3.17,3.67,3.50,3.33,3.20,3.40,3.20,3.17,3.50,3.33
春,GE70103,知識情報システム実習,43,34,3.45,3.27,3.34,3.43,1.03,3.03,1.59,3.38,3.59,3.42,3.38,3.15,3.41,3.19,3.24,3.35,3.47
秋,GE70103,知識情報システム実習,43,28,3.42,3.18,3.39,3.32,1.00,3.00,1.43,3.07,3.48,3.33,3.18,3.14,3.15,3.33,3.19,3.32,3.22
春,GE70201,情報サービスシステム,39,26,3.50,3.44,3.36,3.40,1.08,2.96,1.35,3.12,3.08,3.48,3.58,3.32,3.46,3.31,3.40,3.42,3.38
春,GE70301,ディジタルドキュメント,123,90,3.66,3.52,3.38,3.40,1.43,3.12,1.63,3.05,2.90,3.26,3.43,3.40,3.37,3.40,3.17,3.29,3.13
秋,GE70401,ディジタルライブラリ,42,32,3.37,3.13,3.32,3.31,1.00,3.09,1.53,3.13,2.78,3.07,3.28,3.00,3.16,3.19,3.03,3.16,3.00
春,GE70501,情報検索システム,65,31,3.61,3.58,3.45,3.57,1.00,3.03,1.26,3.06,3.45,3.42,3.52,3.55,3.55,3.45,3.19,3.53,3.32
春,GE70601,Webプログラミング,44,22,3.42,3.17,3.50,3.21,1.00,3.05,1.50,3.09,3.41,3.25,3.10,3.05,3.14,3.00,3.15,3.24,3.14
秋,GE70701,マルチメディアシステム,25,17,3.47,2.85,2.93,3.00,1.00,3.12,1.82,2.88,3.00,3.06,2.82,2.82,2.94,2.88,2.63,3.00,2.59
春,GE70801,データ表現と処理,40,19,3.84,3.50,3.50,3.67,1.00,3.00,1.16,3.32,3.05,3.63,3.58,3.63,3.84,3.89,3.47,3.74,3.42
秋,GE70901,データベース技術,34,18,3.64,3.50,3.25,3.31,1.00,2.94,1.67,3.17,3.44,3.22,3.33,3.22,3.35,2.83,3.11,3.39,3.11
春,GE71001,情報デザインとインタフェース,42,20,3.60,3.42,3.42,3.56,1.05,2.95,1.40,3.15,3.25,3.53,3.37,3.35,3.25,3.26,3.10,3.45,3.26
春,GE71201,知識資源の分析,54,32,3.63,3.50,3.43,3.48,1.09,3.09,1.88,2.56,2.72,3.36,3.47,3.53,3.27,3.24,3.23,3.31,2.93
秋,GE71501,クラウドコンピューティング,43,28,3.52,3.56,3.50,3.50,1.04,2.89,1.39,3.46,3.36,3.56,3.64,3.46,3.68,3.46,3.39,3.46,3.43
秋,GE71701,テキスト処理,21,16,3.44,3.44,3.31,3.31,1.00,3.00,1.38,3.25,3.25,3.33,3.38,3.25,3.31,3.29,3.06,3.38,3.19
秋,GE72001,ソフトウェア工学,38,22,3.41,3.40,3.36,3.48,1.00,3.00,1.36,3.32,3.27,3.20,3.38,3.36,3.50,3.33,3.10,3.45,3.36
秋,GE72201,アーカイブズの利用,27,18,3.59,3.07,2.85,3.00,1.00,3.17,2.11,2.72,2.22,3.19,2.67,2.44,2.59,2.81,2.76,3.06,2.72
春,GE72501,メディアアート,17,7,3.43,4.00,3.71,3.71,1.00,3.60,1.00,3.71,3.14,3.14,3.71,3.71,3.29,3.57,3.57,3.57,3.43
春,GE80103,情報資源経営実習,50,47,3.49,3.49,3.44,3.57,1.00,3.00,1.34,3.00,3.65,3.53,3.44,3.47,3.51,3.36,3.40,3.51,3.44
秋,GE80103,情報資源経営実習,50,45,3.59,3.62,3.53,3.49,1.02,2.98,1.33,2.89,3.53,3.48,3.47,3.40,3.45,3.50,3.40,3.51,3.36
秋,GE80201,図書館論,46,37,3.58,3.46,3.24,3.40,1.16,2.89,1.84,3.08,2.67,3.50,3.11,3.17,3.32,3.16,3.08,3.35,3.06
